1,1,Комплект мебели для гостиной Ольха горная,1549922,160507,1
2,1,Стенка для гостиной Вишня темная,1018556,216907,1
3,2,Прихожая Венге Винтаж,3028272,24970,2
4,2,Тумба с вешалкой Дуб натуральный,3029272,18206,2
5,2,Прихожая-комплект Дуб темный,3028248,177509,1
6,3,Диван-кровать угловой Книжка,7118827,85900,1
7,3,Диван модульный Телескоп,7137981,75900,1
8,3,Диван-кровать Соло,7029787,120345,1
9,3,Детский диван Выкатной,7758953,25990,3
10,4,Кровать с подъемным механизмом с матрасом 1600х2000 Венге,6026662,69500,1
11,4,Кровать с матрасом 90х2000 Венге,6159043,55600,2
12,4,Кровать универсальная Дуб натуральный,6588376,37900,2
13,4,Кровать с ящиками Ясень белый,6758375,46750,3
14,5,Шкаф-купе 3-х дверный Сосна белая,2759324,131560,2
15,5,Стеллаж Бук натуральный,2118827,38700,1
16,5,Шкаф 4 дверный с ящиками Ясень серый,2559898,160151,3
17,5,Шкаф-пенал Береза белый,2259474,40500,3
18,6,Комод 6 ящиков Вишня светлая,4115947,61235,1
19,6,Комод 4 ящика Вишня светлая,4033136,41200,1
20,6,Тумба под ТВ ,4028048,12350,4
